TransactionID,Date,Product,CustomerID,SalesAmount,TargetSales,ExpenseAmount,Distributor
T00070,1/30/2022 0:00,Beverages,C0076,4522.93,46760.42,5146.99,Distributor D
T00071,8/6/2020 0:00,Personal Care,C0102,43953.17,43584.26,8662.88,Distributor A
T00072,10/31/2020 0:00,Home Appliances,C0489,30345.72,36508,6633.84,Distributor C
T00073,10/4/2020 0:00,Office Supplies,C0040,17623.74,24244.34,2094.38,Distributor A
T00074,7/29/2020 0:00,Personal Care,C0249,10587.23,2306.97,1924.68,Distributor D
T00075,4/15/2025 0:00,Beverages,C0086,4090.1,26431.79,3709.54,Distributor D
T00076,6/30/2024 0:00,Office Supplies,C0244,31708.78,18030.95,6837.87,Distributor A
T00077,10/30/2022 0:00,Beverages,C0479,23377.3,39096.65,3349.07,Distributor A
T00078,8/9/2023 0:00,Office Supplies,C0496,47462.86,24890.86,8964.48,Distributor C
T00079,6/23/2023 0:00,Auto Parts,C0282,43231.85,43125.47,6919.5,Distributor A
T00080,7/1/2022 0:00,Food Products,C0315,31142.39,36800.6,7767.52,Distributor A
T00081,6/19/2025 0:00,Electronics,C0378,2019.84,29222.53,652.15,Distributor B
T00082,10/10/2024 0:00,Packaging Materials,C0196,22902.94,13275.59,1128.39,Distributor D
T00083,9/25/2023 0:00,Office Supplies,C0423,48066.09,34710.74,4014.1,Distributor B
T00084,8/15/2023 0:00,Electronics,C0031,2916.74,16231.63,2339.43,Distributor A
T00085,11/22/2021 0:00,Office Supplies,C0411,25863.48,48725.46,9727.69,Distributor C
T00086,12/22/2020 0:00,Food Products,C0250,39941.6,39068.27,4740.74,Distributor D
T00087,7/20/2020 0:00,Beverages,C0200,38459.85,3146.29,5261.9,Distributor D
T00088,11/26/2025 0:00,Auto Parts,C0376,14054.08,46337.87,6491.23,Distributor B
T00089,1/2/2020 0:00,Personal Care,C0497,12529.96,33788.59,9117.14,Distributor A
T00090,2/20/2024 0:00,Home Appliances,C0122,34246.05,17228.29,6999.9,Distributor A
T00091,8/26/2020 0:00,Medical Supplies,C0248,1515.77,13094.43,1254.82,Distributor C
T00092,11/18/2024 0:00,Auto Parts,C0144,28839.05,54333.5,4632.29,Distributor D
T00093,12/23/2025 0:00,Food Products,C0274,8685.07,29801.2,6780.48,Distributor D
T00094,2/9/2020 0:00,Personal Care,C0047,11107.24,43096.3,5659.42,Distributor B
T00095,9/27/2021 0:00,Beverages,C0114,20175.37,26863.16,3980.13,Distributor A
T00096,1/14/2024 0:00,Auto Parts,C0459,47998.06,21154.9,6325.06,Distributor C
T00097,3/2/2024 0:00,Industrial Parts,C0323,36257.42,39959.37,7999.92,Distributor D
T00098,6/29/2021 0:00,Auto Parts,C0475,26042.92,32375.51,9037.7,Distributor B
T00099,9/30/2020 0:00,Home Appliances,C0004,46399.2,27822.62,3893.31,Distributor B
T00100,9/28/2023 0:00,Home Appliances,C0325,26046.24,41895.12,3964.9,Distributor C
T00101,4/7/2025 0:00,Auto Parts,C0057,28571.57,20975.64,4048.09,Distributor A
T00102,12/11/2022 0:00,Office Supplies,C0250,28517.49,26071.52,958.18,Distributor C
T00103,4/6/2021 0:00,Packaging Materials,C0356,20511.24,21994.08,7670.06,Distributor D
T00104,4/7/2023 0:00,Beverages,C0136,8755.49,3749.32,3772.52,Distributor C
T00105,12/2/2022 0:00,Industrial Parts,C0490,38302.75,24106.13,7903.85,Distributor D
T00106,6/22/2022 0:00,Personal Care,C0041,24385.87,28975.42,4484.96,Distributor D
T00107,3/21/2021 0:00,Industrial Parts,C0442,31980.43,24151.28,5048.55,Distributor C
T00108,6/22/2021 0:00,Packaging Materials,C0462,8346.66,42845.06,1255.6,Distributor C
T00109,5/28/2024 0:00,Home Appliances,C0029,16585.65,38907.05,979.9,Distributor A
T00110,8/12/2024 0:00,Industrial Parts,C0254,11379.61,39801.37,5073.78,Distributor D
T00111,4/20/2023 0:00,Medical Supplies,C0322,49054.98,20021.72,1596.9,Distributor A
T00112,9/12/2020 0:00,Office Supplies,C0169,13950.42,36773.27,1933.45,Distributor D
T00113,12/11/2021 0:00,Electronics,C0432,32682.45,48372.33,148.94,Distributor C
T00114,11/13/2020 0:00,Home Appliances,C0055,30756.97,2810.88,8565.95,Distributor D
T00115,4/23/2022 0:00,Home Appliances,C0127,7643.25,12417.21,8654.03,Distributor B
T00116,3/23/2021 0:00,Electronics,C0155,24535.01,48138.13,6917.85,Distributor D
T00117,12/9/2023 0:00,Electronics,C0251,13080.69,16189.53,7737.45,Distributor B
T00118,11/3/2024 0:00,Home Appliances,C0336,7353.82,14135.25,5742.11,Distributor C
T00119,1/5/2020 0:00,Electronics,C0178,17788.15,38247.96,8226.75,Distributor D
T00120,4/24/2023 0:00,Medical Supplies,C0376,10115.61,48572.52,6463.83,Distributor A
T00121,10/2/2021 0:00,Electronics,C0199,34272.15,5362.09,6449.54,Distributor C
T00122,9/25/2022 0:00,Beverages,C0488,36868.71,40511.4,5346.11,Distributor A
T00123,10/28/2025 0:00,Packaging Materials,C0141,29929.47,25066.64,6267.35,Distributor C
T00124,9/19/2020 0:00,Auto Parts,C0095,1378.46,8877.36,2145.81,Distributor A
T00125,8/7/2020 0:00,Packaging Materials,C0282,37669.56,24602.22,4474.01,Distributor A
T00126,12/21/2025 0:00,Auto Parts,C0323,32114.93,30411.35,9525.86,Distributor A
T00127,4/3/2021 0:00,Personal Care,C0272,41119.38,23207.54,7848.11,Distributor C
T00128,2/26/2021 0:00,Office Supplies,C0456,28305.06,38094.23,2455.54,Distributor A
T00129,6/30/2025 0:00,Home Appliances,C0238,48670.66,54674.9,9737.96,Distributor D
T00130,7/28/2025 0:00,Food Products,C0339,37805.18,12531.1,4027.14,Distributor C
T00131,8/31/2021 0:00,Packaging Materials,C0158,13998.54,39007.2,5133.39,Distributor A
T00132,2/2/2023 0:00,Food Products,C0375,894.73,40957.53,7912.23,Distributor B
T00133,6/28/2022 0:00,Auto Parts,C0188,36437.5,25385.2,8073.37,Distributor B
T00134,1/13/2022 0:00,Industrial Parts,C0228,29727.03,26807.36,316.21,Distributor A
T00135,2/10/2022 0:00,Office Supplies,C0307,29043.13,36127.06,8779.37,Distributor D
T00136,7/21/2025 0:00,Home Appliances,C0022,30407.61,21353.28,9625.61,Distributor D
T00137,2/9/2024 0:00,Electronics,C0244,28079.61,29543.58,8928.83,Distributor A
T00138,4/9/2024 0:00,Packaging Materials,C0032,24797.03,42650.29,1285.88,Distributor A
T00139,1/6/2023 0:00,Packaging Materials,C0070,45886.09,11163.1,3352.64,Distributor C
T00140,3/13/2021 0:00,Beverages,C0088,6952.6,31198.7,3828.99,Distributor B
T00141,1/29/2024 0:00,Food Products,C0059,29606.29,28800.31,5218.2,Distributor D
T00142,12/15/2022 0:00,Medical Supplies,C0217,25012.12,47361.38,7531.49,Distributor C
T00143,3/13/2021 0:00,Packaging Materials,C0192,29363.49,12526.18,7404.39,Distributor D
T00144,10/1/2025 0:00,Food Products,C0002,37427.57,17702.63,5469.76,Distributor A
T00145,6/12/2022 0:00,Auto Parts,C0227,2826.33,21528.74,4437.34,Distributor D
T00146,1/22/2022 0:00,Personal Care,C0009,21946.54,50624.37,2184.19,Distributor B
T00147,11/12/2022 0:00,Food Products,C0411,14601.93,19172.1,8961.59,Distributor B
T00148,12/2/2021 0:00,Electronics,C0203,36335.14,31922.32,502.54,Distributor A
T00149,3/24/2025 0:00,Beverages,C0064,22653.57,37414.5,2494.31,Distributor D
T00150,10/17/2021 0:00,Personal Care,C0220,48425.95,16303.26,5328.19,Distributor C
T00151,7/13/2020 0:00,Beverages,C0427,34144.68,35637.17,5787.8,Distributor D
T00152,12/20/2025 0:00,Food Products,C0231,2880.58,45687.58,1718.07,Distributor C
T00153,3/19/2023 0:00,Medical Supplies,C0375,36554.65,46854.98,8869.61,Distributor D
T00154,6/29/2024 0:00,Packaging Materials,C0456,49766.49,41463.15,7845.54,Distributor C
T00155,4/27/2023 0:00,Food Products,C0436,32830.87,21964.91,8259.24,Distributor D
T00156,7/11/2020 0:00,Home Appliances,C0237,753.28,26982.7,1357.1,Distributor B
T00157,8/5/2022 0:00,Packaging Materials,C0374,23252.26,43205.81,4145.47,Distributor D
T00158,6/19/2022 0:00,Industrial Parts,C0463,37342.97,43065.48,5098.55,Distributor B
T00159,10/25/2024 0:00,Medical Supplies,C0344,16096.83,38086.11,4792.86,Distributor A
T00160,8/31/2022 0:00,Personal Care,C0047,19633.61,21232.56,5461.97,Distributor D
T00161,7/21/2023 0:00,Home Appliances,C0222,31077.86,37642.76,1145.28,Distributor B
T00162,11/7/2020 0:00,Beverages,C0446,7209.5,40402.83,9874.47,Distributor A
T00163,6/24/2020 0:00,Electronics,C0427,23501.79,16995.81,9953.68,Distributor D
T00164,12/23/2025 0:00,Beverages,C0062,21753.34,3168.79,9698.94,Distributor A
T00165,7/17/2025 0:00,Auto Parts,C0289,15637.03,15087.68,4390.88,Distributor A
T00166,5/27/2021 0:00,Industrial Parts,C0197,44919.12,20766.89,895.02,Distributor C
T00167,2/13/2022 0:00,Food Products,C0312,4248.29,32685.41,493.81,Distributor A
T00168,6/20/2020 0:00,Office Supplies,C0084,3484.85,43035.7,6302.66,Distributor D
T00169,5/16/2023 0:00,Beverages,C0008,2838.78,28440.23,4043.72,Distributor B
T00170,4/28/2023 0:00,Electronics,C0035,47251.44,36496.36,5144.82,Distributor C
T00171,5/28/2023 0:00,Electronics,C0124,46226.99,52016.64,9111.35,Distributor B
T00172,8/25/2021 0:00,Industrial Parts,C0018,49204.33,6294.01,3002.14,Distributor D
T00173,3/23/2023 0:00,Electronics,C0397,42449.22,11019.97,3521.85,Distributor A
T00174,1/21/2020 0:00,Industrial Parts,C0303,20003.35,51551.21,3024.11,Distributor B
T00175,7/20/2021 0:00,Electronics,C0300,29438.95,8104.1,8343.04,Distributor D
T00176,11/8/2024 0:00,Auto Parts,C0066,17350.8,42530.05,4931.12,Distributor A
T00177,5/21/2022 0:00,Industrial Parts,C0392,16999.4,20937.14,6422.53,Distributor C
T00178,11/11/2022 0:00,Home Appliances,C0412,45315.88,41437.07,7465.61,Distributor B
T00179,4/5/2021 0:00,Auto Parts,C0197,19032.21,27089.4,3437.06,Distributor C
T00180,12/12/2024 0:00,Beverages,C0205,40718.76,36627.26,7169.93,Distributor D
T00181,3/10/2023 0:00,Medical Supplies,C0029,12473.44,41618.24,1103.68,Distributor C
T00182,1/20/2023 0:00,Personal Care,C0473,6342.84,32989.22,7451.8,Distributor D
T00183,10/22/2024 0:00,Home Appliances,C0115,43778.38,54437.39,1640.76,Distributor A
T00184,2/25/2020 0:00,Medical Supplies,C0288,25400.13,43612.47,1291.65,Distributor D
T00185,3/15/2021 0:00,Industrial Parts,C0455,8149.37,10713.11,1445.25,Distributor D
T00186,9/18/2022 0:00,Home Appliances,C0475,16078.01,15727.22,5002.24,Distributor A
T00187,4/4/2020 0:00,Beverages,C0434,6683.29,33277.33,7312.45,Distributor B
T00188,5/30/2020 0:00,Personal Care,C0150,1352.58,23617.21,7552.82,Distributor D
T00189,5/19/2020 0:00,Office Supplies,C0414,44844.38,53828.55,3695.82,Distributor B
T00190,2/27/2021 0:00,Packaging Materials,C0410,37414.52,16435.98,2213,Distributor B
T00191,4/4/2020 0:00,Auto Parts,C0142,1311.88,19840.33,2646.57,Distributor A
T00192,10/8/2020 0:00,Auto Parts,C0151,22405.41,23684.86,1754.19,Distributor C
T00193,4/10/2022 0:00,Home Appliances,C0057,43190.67,2374.35,2599.38,Distributor B
T00194,12/11/2025 0:00,Industrial Parts,C0262,19099.78,44660.13,7887.25,Distributor C
T00195,8/12/2024 0:00,Packaging Materials,C0183,7748.09,37889.29,3050.72,Distributor A
T00196,3/29/2024 0:00,Home Appliances,C0063,2866.49,32867.06,1334.8,Distributor D
T00197,4/13/2022 0:00,Packaging Materials,C0025,25257.47,16725.93,249.5,Distributor D
T00198,10/29/2023 0:00,Packaging Materials,C0396,42808.92,30693.41,4267.1,Distributor A
T00199,12/14/2020 0:00,Electronics,C0281,27832.53,22273.13,2331.09,Distributor C
T00200,6/16/2020 0:00,Beverages,C0296,18901.4,35791.85,4016.21,Distributor D
T00201,11/1/2024 0:00,Medical Supplies,C0079,7380.75,35998.12,6402.64,Distributor C
T00202,1/5/2020 0:00,Packaging Materials,C0117,14875.23,25152.28,6360.96,Distributor C
T00203,1/14/2022 0:00,Beverages,C0396,34693.65,32919.44,9810.51,Distributor C
T00204,2/2/2020 0:00,Electronics,C0057,18492.85,12957.2,3267.02,Distributor A
T00205,3/13/2020 0:00,Electronics,C0262,5325.29,11432.47,5947.6,Distributor C
T00206,9/12/2021 0:00,Auto Parts,C0408,10136.71,15596.52,4362.85,Distributor C
T00207,12/24/2020 0:00,Office Supplies,C0098,22174.21,35739.07,6917.38,Distributor D
T00208,9/25/2025 0:00,Beverages,C0094,29420.76,32095.97,4864.52,Distributor D
T00209,4/1/2023 0:00,Home Appliances,C0241,16756.49,23303.98,4154.13,Distributor A
T00210,10/12/2025 0:00,Auto Parts,C0344,32287.36,25079.61,8478.4,Distributor D
T00211,10/17/2020 0:00,Beverages,C0314,2552.64,3784.25,3619.35,Distributor D
T00212,1/31/2025 0:00,Electronics,C0489,41117.99,5415.79,4292.83,Distributor C
T00213,11/18/2025 0:00,Office Supplies,C0159,32324.99,34909.57,6912.49,Distributor D
T00214,6/22/2021 0:00,Food Products,C0242,27577.56,9850.97,7992.86,Distributor A
T00215,8/1/2020 0:00,Medical Supplies,C0293,28694.86,42052.22,3409.87,Distributor C
T00216,12/30/2024 0:00,Auto Parts,C0160,40229.85,49446.21,9275.4,Distributor C
T00217,4/14/2023 0:00,Home Appliances,C0084,1975.9,52481.16,1164.85,Distributor D
T00218,11/29/2024 0:00,Packaging Materials,C0457,19495.52,44651.26,3157.91,Distributor D
T00219,9/9/2023 0:00,Industrial Parts,C0464,3846.72,22153.85,766.86,Distributor A
T00220,11/10/2024 0:00,Electronics,C0251,42246.31,35203.33,7184.36,Distributor D
T00221,11/29/2020 0:00,Industrial Parts,C0181,8763.73,10339.54,9806.23,Distributor A
T00222,2/2/2020 0:00,Beverages,C0114,23296.74,1265.3,4865.04,Distributor D
T00223,7/3/2022 0:00,Auto Parts,C0022,14956.71,15448.49,8397.27,Distributor D
T00224,1/23/2023 0:00,Personal Care,C0006,40014.77,20477.67,1819.18,Distributor B
T00225,10/27/2022 0:00,Industrial Parts,C0143,47025.66,33207.81,5022.28,Distributor D
T00226,9/6/2022 0:00,Food Products,C0474,40839.97,1800.85,8442.58,Distributor A
T00227,8/31/2021 0:00,Personal Care,C0053,1239.66,39230.87,9523.8,Distributor C
T00228,10/5/2021 0:00,Food Products,C0339,25927.26,20865.44,180.31,Distributor B
T00229,3/7/2020 0:00,Beverages,C0472,13108.35,31912.68,3318.06,Distributor B
T00230,11/6/2025 0:00,Food Products,C0346,7662.21,15152.32,6070.6,Distributor C
T00231,7/4/2023 0:00,Packaging Materials,C0081,8185.8,50290.74,997,Distributor C
T00232,6/18/2023 0:00,Packaging Materials,C0424,6991.28,23710,2635.66,Distributor A
T00233,6/17/2021 0:00,Medical Supplies,C0304,39881.21,8587.41,3655.17,Distributor B
T00234,1/3/2024 0:00,Medical Supplies,C0219,32833.14,49137.76,2916.93,Distributor B
T00235,10/18/2023 0:00,Auto Parts,C0298,11361.54,18577.27,711.67,Distributor C
T00236,7/26/2024 0:00,Food Products,C0207,8032.31,5930.84,1521.61,Distributor D
T00237,5/5/2024 0:00,Medical Supplies,C0245,16571.06,42036.02,358.59,Distributor B
T00238,8/9/2025 0:00,Packaging Materials,C0139,9310.42,32321.44,8350.23,Distributor B
T00239,2/15/2024 0:00,Food Products,C0256,17608.96,53356.03,5204.38,Distributor D
T00240,10/4/2021 0:00,Industrial Parts,C0478,26811.26,39785.3,3811.56,Distributor B
T00241,6/9/2022 0:00,Home Appliances,C0136,48606.84,45263.53,4390.71,Distributor B
T00242,11/6/2021 0:00,Electronics,C0481,3515.44,32462.08,4847.98,Distributor C
T00243,9/30/2025 0:00,Personal Care,C0316,27740.99,25022.07,943.4,Distributor C
T00244,3/13/2025 0:00,Personal Care,C0443,23522.29,28210.31,5617.23,Distributor B
T00245,9/4/2021 0:00,Food Products,C0486,45583.8,34147.44,3609.87,Distributor D
T00246,6/15/2020 0:00,Home Appliances,C0430,23949.48,15233.57,2768.54,Distributor B
T00247,9/2/2020 0:00,Packaging Materials,C0432,7900.97,25078.97,5878.73,Distributor C
T00248,7/13/2025 0:00,Beverages,C0136,41191.15,29080.62,8662.86,Distributor B
T00249,2/28/2025 0:00,Home Appliances,C0015,27263.3,52996.3,2899.84,Distributor C
T00250,1/9/2025 0:00,Electronics,C0087,24902.92,5265.91,9897.09,Distributor C
T00251,6/9/2020 0:00,Packaging Materials,C0202,5919.94,28985.32,7454.95,Distributor B
T00252,11/3/2025 0:00,Auto Parts,C0154,26700.96,32022.97,6137.08,Distributor A
T00253,5/30/2021 0:00,Office Supplies,C0235,34702.71,36589.23,4197.37,Distributor D
T00254,6/22/2025 0:00,Beverages,C0341,12896.27,6004.34,7438.68,Distributor C
T00255,4/1/2020 0:00,Office Supplies,C0092,16652.68,21348.26,4357.64,Distributor B
T00256,6/7/2021 0:00,Packaging Materials,C0390,15482.92,10311.55,3545.74,Distributor D
T00257,10/14/2020 0:00,Personal Care,C0187,10787.99,48709.01,305.4,Distributor C
T00258,11/9/2021 0:00,Electronics,C0334,7978.44,23887.75,6598.87,Distributor D
T00259,1/26/2021 0:00,Personal Care,C0087,19575.52,44085,5986.08,Distributor C
T00260,4/13/2020 0:00,Industrial Parts,C0168,1616.25,38653,9272.37,Distributor D
T00261,9/28/2023 0:00,Personal Care,C0496,36649.81,35829.79,3078.3,Distributor D
T00262,8/1/2024 0:00,Electronics,C0329,34503.91,19639.06,2761.23,Distributor A
T00263,3/7/2025 0:00,Packaging Materials,C0322,46155.42,37983.52,9390.94,Distributor D
T00264,11/11/2025 0:00,Medical Supplies,C0173,37708.65,1391.76,5672,Distributor A
T00265,5/13/2020 0:00,Food Products,C0202,4947.03,48428.61,7660.27,Distributor C
T00266,10/21/2020 0:00,Medical Supplies,C0017,14536.75,24143.17,6184.63,Distributor D
T00267,3/28/2021 0:00,Food Products,C0299,13239.67,25190.58,6466.12,Distributor D
T00268,12/19/2021 0:00,Industrial Parts,C0320,44177.89,30588.68,9754.76,Distributor D
T00269,1/4/2023 0:00,Auto Parts,C0280,34678.45,32530.04,3996.3,Distributor C
T00270,5/7/2025 0:00,Auto Parts,C0092,5058.38,31181.54,8377.19,Distributor A
T00271,8/7/2023 0:00,Industrial Parts,C0455,8752.02,1471.82,3267.22,Distributor C
T00272,10/16/2025 0:00,Medical Supplies,C0250,49147.19,53067.21,6137.58,Distributor D
T00273,2/12/2022 0:00,Beverages,C0049,15147.2,46321.64,6986.32,Distributor A
T00274,11/12/2022 0:00,Office Supplies,C0081,13596.52,23910.29,5884.61,Distributor A
T00275,3/18/2022 0:00,Personal Care,C0068,30261.87,46674.9,9778.99,Distributor C
T00276,6/1/2023 0:00,Auto Parts,C0202,6225.25,7330.03,5954.09,Distributor B
T00277,4/22/2020 0:00,Packaging Materials,C0359,17592.18,46448.53,5049.84,Distributor D
T00278,6/6/2022 0:00,Medical Supplies,C0209,28157.16,50980.9,2154.52,Distributor C
T00279,12/8/2024 0:00,Personal Care,C0373,34256.36,23671.03,6351.01,Distributor C
T00280,4/8/2025 0:00,Food Products,C0471,2686.6,50536.14,7630.47,Distributor B
T00281,8/13/2025 0:00,Industrial Parts,C0200,43698.3,25460.71,922.61,Distributor D
T00282,1/5/2025 0:00,Food Products,C0339,41540.47,7019.81,1962.83,Distributor B
T00283,1/12/2020 0:00,Electronics,C0186,23109.43,21404.45,6706.19,Distributor A
T00284,11/15/2024 0:00,Beverages,C0219,39119.41,1553.72,630.35,Distributor D
T00285,4/16/2023 0:00,Medical Supplies,C0054,10079.25,34408.04,8664.75,Distributor B
T00286,6/19/2021 0:00,Electronics,C0166,43037.26,31152.01,383.46,Distributor D
T00287,4/9/2022 0:00,Personal Care,C0311,21196.15,23890.84,3563.91,Distributor A
T00288,4/11/2021 0:00,Auto Parts,C0106,31957.79,14259.01,616.52,Distributor C
T00289,6/15/2023 0:00,Beverages,C0354,28662.46,1363.49,9382.16,Distributor B
T00290,3/6/2024 0:00,Packaging Materials,C0255,19733.69,45774.63,8205.44,Distributor A
T00291,1/19/2025 0:00,Industrial Parts,C0230,16701.25,13747.15,293.45,Distributor C
T00292,3/2/2021 0:00,Packaging Materials,C0458,10616.73,41854.6,6553.22,Distributor C
T00293,6/18/2020 0:00,Beverages,C0324,45465.71,8580.78,9923.34,Distributor C
T00294,2/16/2024 0:00,Beverages,C0272,7409.34,13728.54,5016.65,Distributor C
T00295,7/25/2022 0:00,Auto Parts,C0437,29603.49,43196.96,883.62,Distributor C
T00296,2/11/2020 0:00,Personal Care,C0213,44885.88,51334.17,2064.68,Distributor C
T00297,4/23/2022 0:00,Beverages,C0311,16176.04,44524.68,1935.18,Distributor B
T00298,11/5/2022 0:00,Electronics,C0263,31562.51,21753.51,1696.11,Distributor A
T00299,10/13/2025 0:00,Office Supplies,C0331,7947.56,3331.85,230.87,Distributor B
